LikelihoodQ,LikelihoodT,LikelihoodTheta,LikelihoodPhi
0.275336,-0.527313,-0.0562294,-0.139942
0.246796,2.24288,0.089121,0.100519
-4.83259,-3.40436,-5.32189,-3.19507
-0.121303,-0.580905,-0.632561,-0.334844
-1.60256,-0.0816819,-0.120606,-0.120261
-3.43075,-3.96941,-5.45112,-4.30853
-0.270536,-0.420531,-7.62309,-1.31108
-0.0414021,-0.313086,-0.0911753,-0.241888
-1.50518,-0.359756,-1.39526,-0.661858
-1.24678,-0.23297,-1.41526,-0.640702
1.00139,0.156391,0.065484,0.19838
0.497644,0.176474,0.111253,0.226883
-0.568459,-1.15453,-2.38937,-1.30498
0.0534026,-0.694216,-2.05609,-2.016
-0.697859,-0.124283,0.124552,-0.535305
-0.046856,0.0391303,0.071025,0.185019
0.543767,-0.604022,-1.99368,-1.00218
-2.5793,-1.56547,-3.56096,-1.81902
0.0491756,-2.34652,-1.2404,-1.48645
-1.9236,-1.02894,-3.15377,-1.50798
1.0973,0.103335,0.0851264,-0.916279
-2.63174,-0.319963,-3.02028,-3.04614
-0.530251,-0.00276412,-1.00555,-0.00145244
-0.932843,-0.00444109,-2.41665,-0.521533
-0.128832,-0.243232,-1.01072,-2.00894
-0.0508522,0.0180336,-2.3437,-3.65736
-1.08561,-0.669581,-1.19223,-1.65425
0.746847,-0.426594,-2.90863,-0.477439
-1.49798,-0.00424891,0.103867,-0.344144
-0.565968,-1.44321,-0.724608,-0.0596648
0.461493,0.228522,0.043992,0.188898
-0.416975,0.4258,0.045445,-0.133519
-1.40496,0.13298,0.0955372,0.0762548
-3.297,-2.65401,-2.5743,-1.72565
0.291017,-0.638404,-0.946638,-0.744636
-2.95026,-2.40213,-2.03733,-1.55533
-3.20173,-2.03889,-0.82064,-0.873148
-1.05287,-0.989957,-0.118986,-0.545545
0.141807,-0.188663,-0.773421,-0.140192
0.570583,-0.106466,-0.0171178,-0.0964771
0.713038,-0.61291,-8.56358,-0.797861
-5.78004,-5.41395,-8.2039,-4.10568
-1.55095,-1.74834,-0.905922,-2.55031
-1.46535,-0.827671,-1.27971,-1.51182
0.744236,-0.398668,-0.732678,-0.566523
0.356594,-0.411882,-0.384626,-1.21815
-1.7954,0.0635977,0.0314827,0.0829346
0.206011,-0.17525,0.124793,0.205669
0.903866,1.01727,0.00756023,0.210582
0.220473,-0.298793,0.120949,-0.589344
-0.903451,0.725606,0.021558,0.164644
-0.435056,-0.164637,-0.900433,-1.22252
0.328112,0.0964391,0.179955,-0.434176
-0.779247,-1.25138,-1.23759,-2.73681
-0.316512,0.768496,-0.245004,0.0775031
-1.75325,-0.0862463,-0.372061,-2.51108
0.979501,-0.320891,-1.28248,-0.134287
-0.0294802,-0.868377,-0.965577,-1.89431
0.463292,-0.279892,-0.297806,-2.00665
0.479542,0.0778968,0.0625122,-0.144892
-1.86122,-0.692233,-1.05047,-2.7383
-0.289556,0.0978519,0.0353224,0.1113
0.917025,-0.31163,-0.915014,-0.230454
-1.17178,-0.0739928,-2.09566,-1.16756
0.994796,-0.45026,-1.30184,-1.08982
-0.80261,0.14976,0.0883543,-0.0250737
0.586495,-0.29834,-0.620765,-0.404675
-2.22023,-1.1313,-0.947926,-0.423487
-2.27689,-0.311836,-3.02351,-1.35727
-2.76102,-1.80459,-2.03287,-1.95007
-1.75681,-0.388557,-1.32528,-0.92813
1.53135,0.0137812,0.115074,-0.287076
0.110255,-0.750231,-0.207596,-0.184098
-0.583958,-0.216365,-0.0776651,-0.0269783
0.95219,0.0530733,0.099255,0.210542
-0.03196,-0.0422039,0.0538014,-0.290797
-0.168477,-0.883834,-1.79851,-3.84775
1.28862,-0.654071,-1.58383,-0.284268
-1.08774,-2.10019,-2.93409,-0.823895
1.64791,-1.21752,-3.31189,-0.793791
-0.987739,-0.62246,-0.249349,-0.356377
0.125446,-0.815787,-1.52627,-0.613867
0.0698453,-0.721299,-0.61298,-2.83194
-0.533646,0.323514,-0.716487,-0.357139
0.345482,1.0631,-0.00332186,0.0744013
-0.0788658,0.246001,-0.523315,0.113871
-0.543597,-0.247844,0.152996,-0.147348
0.122985,0.196336,0.123132,0.15958
-0.350782,0.242484,0.0114193,0.0544019
-0.642153,-0.0308558,-0.17072,-0.750231
-0.0312112,0.11205,0.0802671,0.0789705
0.043409,-0.173888,-1.0032,0.152207
-0.251096,-0.283647,-0.793709,-0.307273
0.901059,-0.194116,-0.00425648,-0.472621
-1.30469,-0.412387,-0.61856,-0.586711
-1.45387,-1.84426,-0.798375,-0.624755
-1.96814,-1.65369,-0.563244,-3.07164
-0.236361,0.136845,-0.139764,-0.237746
0.26887,0.75299,0.119888,0.127359
-0.965704,-2.09019,-4.34954,-1.02002
0.219461,0.037182,-1.21649,-0.316954
-0.485544,0.416511,-0.143314,0.0893765
-0.615164,-1.01935,-5.35996,-2.7054
-1.7937,-1.97546,-2.71608,-2.53537
-0.869415,0.0919592,-0.104673,-1.78341
0.12241,0.691424,0.0998351,0.147805
0.778324,0.14823,0.111252,0.160685
0.555993,0.16999,0.12025,-0.220673
-1.58168,-1.47868,-2.97972,-2.61301
-2.00575,-1.8051,-2.75637,-2.33751
-1.06123,0.415697,-0.031257,-0.153545
-1.93147,-1.23486,-1.44001,-1.73864
0.298777,-0.598493,-1.18163,-1.22331
-0.228922,-0.440677,-1.12982,-0.414141
0.694346,-0.294975,-0.484833,-0.523089
-1.78723,-0.00639688,-0.123787,0.0354484
1.14469,-0.310237,-0.00999748,0.0346886
-0.86102,-1.91042,-2.64286,-2.4376
-0.53116,0.324149,-0.0166688,-0.649302
-0.364298,0.121043,-0.160596,0.15158
-0.719105,-1.2404,-0.015598,-1.14633
-1.94382,-1.39353,-11.6836,-2.03777
-1.69089,-0.965864,-0.209256,-1.08609
-1.83656,-0.391651,-1.73154,0.0294719
-0.306931,-0.322927,-0.561772,0.0237862
-0.710419,0.251769,0.133308,-0.383933
-1.17736,-0.0960066,-0.294326,-0.452428
-1.2685,-0.815892,-1.93728,-0.951306
0.215106,0.199262,0.127284,-0.521389
1.01136,-0.0547132,0.100542,-1.55081
0.084063,0.144041,-0.0470484,0.105169
-0.406597,0.0884249,-0.280564,0.107266
-0.195096,-0.192557,-0.387827,-0.000989579
0.251419,-0.122986,-0.532262,-0.298934
-0.794333,-0.0068173,0.0280263,0.171166
-0.934471,0.478074,-0.0366815,-0.313898
-0.528343,0.239182,0.126514,0.0482374
-2.12591,-2.34519,-6.29417,-2.11528
-0.159125,-0.397301,-0.148859,-0.206962
-1.81685,-1.49443,-2.6539,-2.34264
0.728547,0.357108,0.0912239,0.105552
-1.55694,-1.62817,-4.98904,-2.82447
0.234284,0.172947,0.165093,0.0434077
0.604343,0.015954,0.0629835,-0.0380899
-1.98194,-1.03397,-0.469131,-0.787053
-0.0577696,-0.260957,-1.34552,0.124444
0.25942,-1.64849,-1.09882,-0.976399
0.055133,0.255636,-2.88324,-0.790103
-1.38522,0.0933044,-0.365863,-0.146572
0.220441,0.0672197,-0.125726,0.048011
0.465057,0.334942,0.142285,0.195112
0.432491,-0.817606,-1.00685,-0.394166
-0.22237,-0.0141856,-0.400737,-0.239614
-2.2129,-0.997985,-1.02957,-0.560899
0.00961974,9.10323,0.113019,0.149807
-0.817924,-0.0866409,-0.791433,-0.448168
0.720521,0.117163,-1.35232,-3.87331
-0.00770752,-0.651355,-1.4748,-0.71747
0.121341,0.118756,-0.446639,0.104977
-1.36941,-0.22678,-8.24514,-0.566387
-1.40822,-1.38104,-0.589499,-1.58887
-2.85462,-3.15443,-3.32589,-4.22037
0.688526,0.348482,-0.207949,-1.22768
0.0447328,-0.795818,-0.576539,-0.79093
0.116642,-1.46252,-1.94677,-0.936272
-4.71304,-3.31681,-6.11214,-4.40868
0.178419,0.10828,0.0951581,0.208978
-0.233853,0.541993,-0.00469603,0.201415
-0.152965,0.118947,0.053881,0.140893
-0.443017,-1.43427,-0.91866,-1.15666
0.739105,0.135463,0.0505609,0.191664
0.367899,-1.28719,-0.705061,-1.89198
-3.42439,-2.70062,-3.10139,-3.56665
0.651233,0.103567,0.165963,-0.0120843
-1.43891,-0.504453,-0.157059,-2.0328
-0.1463,1.17993,-0.00711038,0.162916
-2.05543,-1.49317,-5.83032,-4.14419
-0.73535,-1.01829,0.0530258,-0.740141
-0.369956,-0.318832,-0.332237,-0.359672
0.229205,-1.05856,-0.677479,-0.609551
-0.731217,-0.538508,-9.94173,-3.19147
-2.21759,-0.323422,0.0388712,-0.53792
-2.0201,-1.62456,-3.43117,-3.17686
-0.64598,-0.0911275,-0.240885,-0.0693405
-1.55989,-1.39089,-1.72424,-1.06648
-1.75935,-0.439025,-0.0586867,-0.768868
-2.72951,-1.53087,-2.87608,-1.10093
-3.15462,-1.30222,-1.41108,-0.878172
0.359681,0.0089998,0.0825579,-0.13419
1.02595,-0.480914,-0.261618,-4.31943
-0.222513,-0.493635,-3.78339,-0.679939
-1.72277,0.00361866,-0.266093,-0.581358
-2.18571,-1.52798,-1.38208,-1.38229
-1.48841,-0.618403,-0.470552,-0.653483
-0.370496,0.108722,-0.522561,-0.147169
-0.471912,-1.44462,-2.85434,-1.71865
-0.899972,-0.792336,-1.20278,-1.8735
0.18292,-0.882484,-0.149873,-0.538621
-0.976321,-1.56611,-3.26945,-1.68212
0.893816,-0.130189,-0.0330693,0.0794741
-1.31889,0.216213,0.0440317,-0.246521
-0.071361,3.1201,0.0343435,0.134734
-0.0943187,-0.990227,-0.779765,-0.547475
0.943641,-0.0128245,-0.398986,0.165129
-1.33839,0.119385,0.0372797,0.0827109
-0.412933,-0.0699216,0.111283,-1.30777
0.158194,0.237044,-0.490572,-0.92622
-2.24169,0.00400946,0.0203575,0.0685238
-1.76735,-3.31309,-3.32245,-1.8172
1.08234,0.0935867,-0.0182738,0.195968
-1.08468,0.21473,-1.06941,-0.657655
-0.49452,-0.683688,-0.779424,-0.114448
0.177708,0.46731,0.124602,0.178554
-3.81165,-2.1958,-12.341,-5.91338
-1.27267,-0.583859,-1.2336,-0.195072
0.222094,0.507128,0.0144031,0.190585
1.1705,-0.191335,-0.0657517,-3.08949
-2.31441,-2.42853,-2.67154,-2.85856
-0.0724757,0.343974,0.0958272,-0.132241
0.0997834,-0.460443,-1.53054,-0.333202
