LikelihoodQRing,LikelihoodTRing,LikelihoodThetaRing,LikelihoodPhiRing
0.029589,-0.0191678,-0.0862022,0.204086
0.560741,0.0233676,-0.112351,0.200799
0.567342,-0.284618,0.137746,0.150778
-0.208097,-0.0486574,-1.4227,-1.70284
0.644518,0.0307284,0.0045823,0.356606
-0.839918,-0.135455,-0.336371,-0.913328
-0.439082,-0.423638,-0.287439,-0.449469
-0.222881,0.0816548,0.102945,0.0932245
-0.0927378,0.0292569,-0.0120855,0.317371
-1.03217,0.0325892,0.0309649,-0.000484584
-0.997808,0.0296408,-0.140862,0.181122
-0.9174,-0.604621,-1.45553,-0.425271
-0.485193,-0.590563,-1.12274,-0.441084
-1.51522,-0.388115,-1.47898,-2.59685
-3.48962,-2.24789,-1.60815,-1.0702
-0.483203,0.0306165,0.116274,0.101273
-1.67638,-0.893113,-0.106143,-0.747939
-0.696389,-0.663298,-0.999241,-0.171037
-0.0925637,-0.244025,-1.60838,-0.0610465
-1.66043,-1.13468,-3.40083,-0.464774
0.355394,0.0430272,0.112293,0.318418
-0.428358,0.0204542,-0.110551,0.035617
1.30133,-0.0368916,-0.0487107,-0.406945
0.478306,0.0384312,-0.0439801,0.338527
-0.969448,-0.0128896,0.104727,-1.20794
0.406727,-0.0549654,0.115264,-0.426348
-1.79172,-1.06447,0.152023,-1.21889
-0.831579,-0.248352,0.105717,-0.644309
-0.968362,-0.289532,-1.59001,-0.557516
-1.72365,-1.15999,-7.81499,-2.44416
-0.11064,0.0180588,0.126694,-1.82334
-0.319049,-0.0900953,-0.0408104,0.0140553
-1.89429,-0.461979,-1.52747,-1.83624
0.0212288,0.145733,-0.79063,0.0126606
0.604006,-0.152145,-0.285734,0.0715193
-0.366819,-0.0402813,-0.0942346,-0.0256035
-0.235389,-0.139814,-0.0579826,0.350175
-1.20424,-1.09893,-0.45998,-0.418379
0.111193,0.040752,0.0600339,0.168821
-2.31487,-1.68967,-1.73522,-1.15864
-0.635712,-0.321035,-0.140147,-0.246269
-0.028493,-0.253089,-0.0527394,0.0904757
0.37396,0.338904,0.122983,0.223844
-2.87064,-2.10067,-3.55598,-1.47103
-0.0776155,-0.386465,-0.395411,0.0680892
-1.04103,-0.027306,-0.141328,0.0318655
-2.15815,-2.08923,-3.01478,-1.98265
-0.252444,-0.241075,-5.50727,-0.46163
0.0518609,-0.2279,-0.119446,0.124055
-1.0499,-0.232632,-0.856863,-0.126055
-0.77173,-0.198105,-1.00332,-0.136488
0.433708,0.0361513,0.116604,0.281829
0.325361,0.0207785,0.139146,0.301439
-0.396791,-0.690251,-1.55628,-0.470785
0.0644069,-0.433484,-1.02364,-0.962511
-0.370982,-0.294495,0.164176,-0.140499
-0.0412982,-0.0456318,0.118975,0.347555
0.27539,-0.423486,-1.83584,-0.372154
-1.45916,-0.981168,-2.4404,-0.852322
0.0290194,2.43634,-0.915006,-0.542123
-1.18265,-0.607383,-1.57153,-0.601208
0.914917,-0.0139955,0.214379,-0.373411
-1.60401,-0.187814,-2.05849,-1.19591
-0.523905,-0.00150217,-0.911675,0.145648
-0.47991,-0.00447003,-1.6258,-0.116625
-0.175047,-0.13474,-0.53683,-0.954573
0.51155,0.00837557,-0.405529,-1.717
-0.767728,-0.390037,-0.763045,-0.527555
0.412666,-0.43545,-1.79367,0.0181922
-0.978494,-0.00264635,0.157941,-0.0591535
0.102768,-0.646922,-0.423859,0.150324
0.485159,0.0579271,0.06368,0.318193
-0.300216,0.0104323,0.0836082,0.0257057
-0.518353,0.0291858,0.148773,0.175254
-2.03805,-1.64353,-2.02727,-0.684374
0.104153,-0.358693,-0.683742,-0.337714
-1.83775,-1.43463,-1.68454,-0.643806
-1.88084,-1.12814,-0.625988,-0.284084
-0.588479,-0.628979,-0.0105861,-0.0711691
-0.168116,-0.10341,-0.446408,0.0587128
-0.0644145,-0.0572758,-0.00704697,0.0649826
0.30493,-0.403953,-1.89293,-0.198714
-3.48712,-2.97384,-5.66597,-1.96179
-0.814702,-0.964847,-0.662112,-1.21471
