LikelihoodQ,LikelihoodT,LikelihoodTheta,LikelihoodPhi
0.1268,0.202009,-0.372918,-0.121755
0.947701,0.0682145,0.0888352,0.365606
0.193616,-0.193703,0.0230309,0.187642
0.530056,-1.00276,-0.298286,-0.537746
1.58645,-0.0134713,-0.0151797,0.0120601
-0.212271,1.08601,-0.945409,0.157126
0.988281,-0.480228,-1.00794,-0.184708
1.11234,-0.179723,-0.0509044,0.186803
0.510132,0.1628,-1.8718,0.188896
0.273905,0.0820505,0.137742,-0.0773397
1.57604,0.193397,0.102183,0.13547
0.628081,-0.786258,-0.393689,0.0491128
1.20403,-0.0431645,-0.225993,0.144318
0.104523,-0.560943,0.129243,-0.606564
0.343289,0.381235,0.0754431,0.134282
0.770781,-0.788077,-1.24775,-0.478207
1.63415,0.0151066,-0.0143408,0.331781
0.621166,-0.939281,-0.455389,-0.23133
-0.362393,-0.471046,-0.705584,-0.518385
0.463458,-0.452498,-0.344408,-0.132592
0.193243,0.213333,-0.504417,-0.0330996
0.484115,0.0521251,-0.0422298,0.241754
0.738536,0.152043,0.0419162,0.320836
0.274195,0.84776,-0.996668,0.0961201
1.5693,-0.426667,-0.0946302,0.0569503
1.27706,-0.0630239,0.000787841,-0.0891704
0.129066,-0.552866,-0.247471,-0.353075
0.240482,-0.352941,-3.14422,-0.52725
0.825461,-0.101945,-1.11936,0.0143633
0.27844,34.576,0.110122,0.110967
-0.808223,0.156622,0.085428,0.0864672
0.904296,-0.173739,0.0544406,0.245801
0.10537,0.0950744,-0.0235801,0.0699872
-0.230606,-0.0355905,0.126883,0.0138136
1.09131,-0.530632,-0.166219,-0.962598
0.661578,0.115504,0.117168,-0.526605
0.0634766,0.106221,0.0890553,0.2214
0.357055,0.131677,0.143584,0.149371
0.140656,1.35554,0.0703275,0.187145
0.889724,-0.501673,-0.270647,-0.120041
0.92826,0.0345823,-0.0335415,-1.93645
-0.618335,0.0301838,0.110878,0.0950605
1.27086,0.0696597,0.141882,0.116143
0.288666,1.22017,0.107207,0.214336
0.820752,-0.237428,-0.634853,-0.262981
1.18953,-0.767687,0.018886,-0.00120603
0.852773,-0.35099,-0.460775,-0.0929431
1.57658,-0.00930047,0.000290628,-0.578693
0.433802,-0.364258,-0.270637,-0.11672
-0.0745261,0.0284984,-0.286493,0.128265
0.621915,0.0250181,-0.000651156,0.184616
0.323575,-0.107185,-0.110944,-0.1865
0.0299951,0.0860413,0.116865,-0.487669
0.821205,0.111667,0.107598,0.22665
0.740281,-0.056927,-0.0640284,-0.108881
0.754448,0.0812776,0.115583,0.0613111
0.544613,0.190517,0.106605,0.110822
-1.33839,-3.72197,-0.168508,-1.01821
1.44128,-0.349206,0.0654067,-0.300021
0.39069,0.232886,0.063203,0.119629
1.5542,0.0356508,0.073435,-0.00101423
0.622406,0.106167,0.141502,0.161632
0.198235,0.163181,0.0906715,0.301663
0.578492,-0.943077,-0.219394,-0.331327
1.3124,-0.488865,-0.671567,-0.215334
1.4663,-0.0243802,0.0828626,-3.93657
0.000597497,0.0449851,0.112922,-2.08693
0.671524,0.0790024,-0.126303,-0.921398
-0.141527,0.887537,0.10756,0.140222
-0.396431,0.0613254,0.118615,0.194741
0.47922,0.0223761,0.119521,0.176416
0.264012,-1.14959,-0.520534,0.0727711
1.54188,0.0443818,0.0970038,0.0590431
-1.60256,0.0346004,0.0100336,-0.138016
0.681229,-0.532686,-0.380743,-0.243931
-0.553646,1.03778,0.0951733,0.204633
0.146949,0.197601,0.0683424,0.0359236
0.0806464,0.0802797,0.0538033,0.165041
0.573612,2.88695,0.0835966,0.139425
0.665649,0.0598892,0.0793249,0.114276
-0.491,0.0656262,0.136204,-3.07212
0.688244,0.143876,0.0903968,0.208545
1.15377,-0.171687,0.0862602,0.0946782
0.418608,0.692518,0.117459,0.224592
0.830003,0.0586899,0.082244,0.195359
-0.407058,0.431573,-0.182954,0.0660671
1.43707,0.0818145,0.0913765,-0.0257054
-0.205901,-0.406645,-0.682854,-0.109601
0.717782,-0.0952922,-0.0550064,0.229557
0.467859,-0.469488,-0.278639,0.0903516
1.156,2.12044,0.0848447,0.125915
0.328027,0.222046,0.10937,0.183911
0.264265,-1.67308,-0.949711,-0.418639
1.33439,0.0842015,0.0907306,0.112688
1.6819,-0.0168073,0.124666,-0.145472
1.46469,0.0635511,-0.00490685,0.127892
0.17988,0.200591,0.111955,0.282691
0.9293,0.0199541,0.112293,-0.427415
-1.38221,-0.0844924,-1.64163,0.111565
-0.0200088,-0.935263,0.0331304,-0.524912
1.28336,0.00368374,0.044934,0.165303
1.09009,-1.95562,-2.77451,-1.29326
-1.16213,-0.50241,-0.16021,0.113542
0.464927,0.116076,0.128052,0.237334
0.798583,-0.384805,0.124904,0.0114401
0.594751,-1.41512,-0.253048,-0.260501
-0.20906,0.23242,0.0685125,0.174292
0.262346,-0.485282,-1.16487,-0.0671097
0.542601,0.127775,-0.350683,0.213158
2.57067,-0.0276111,-0.0868365,-0.92597
0.200201,-0.0105292,-0.00637727,0.0728992
0.707866,0.139059,0.158554,0.172189
0.603001,2.86742,0.0877767,0.157062
1.09158,-0.221952,-0.407862,-0.190255
2.05585,-0.419615,-1.99509,-1.89814
1.41368,-0.0189911,0.0933549,0.19427
1.04022,-0.454044,0.02786,-0.237611
1.51345,0.105659,-0.0157163,0.223626
0.182173,-0.0341102,-0.641934,-0.108226
0.317719,1.09178,0.116014,0.148749
0.708246,0.0260327,0.107097,0.139756
0.493651,0.0121166,0.121359,0.144714
0.872123,-0.52008,-1.01688,-0.0902324
1.3091,-0.829111,-1.23889,-0.475315
0.528453,0.145464,0.123155,0.173602
0.322754,-0.203376,0.0212745,0.165468
0.735092,-0.587221,-0.575812,-0.224147
-0.192809,1.0233,0.0975505,0.0500877
-1.20998,0.0661515,0.024489,0.163179
0.80865,0.0709188,0.168341,-0.0340026
0.673914,0.0832061,0.0449114,0.186075
2.16624,-0.352136,-0.75467,-0.956173
1.20088,-0.0449114,0.046476,0.202373
-1.38579,0.0456853,0.100099,0.211056
-0.642633,-0.0511888,0.0338292,0.101589
0.478313,-0.486535,0.0922652,-0.454078
1.15342,-0.0616626,-0.0930315,0.0925329
