LikelihoodQRing,LikelihoodTRing,LikelihoodThetaRing,LikelihoodPhiRing
0.422369,0.0290199,0.145482,0.309141
0.207602,0.0189738,-0.236537,0.242506
0.162254,-0.399688,-1.11624,0.0853872
0.0623986,0.101724,0.129861,0.265972
0.0993371,0.0515461,0.196188,-0.363721
0.359538,0.0817033,0.107988,0.382372
0.00704894,0.0665698,0.210965,0.190342
0.405539,0.101361,0.115504,0.37266
-0.103403,0.0736027,0.131303,0.345719
0.568844,0.0292516,-0.468057,0.274813
0.101924,0.026172,0.113857,0.291932
0.71044,0.0109331,-0.0197713,0.258542
0.36005,0.0410885,0.137669,0.382105
-0.328576,-0.133872,-0.0167577,-0.309826
0.469324,-0.214776,-0.746701,-0.12075
1.16353,0.048468,0.173791,0.0604235
0.237795,0.0517064,0.0712499,0.170014
0.504488,0.0331388,0.0542159,0.339093
-0.685303,0.0383897,0.131157,0.209917
0.54763,0.0316944,0.13734,0.349069
1.14442,0.0313565,0.114578,0.362114
0.496619,-0.0245042,-0.128502,0.332666
0.379195,-0.124249,-0.035436,0.278563
0.0177759,0.041098,0.125506,0.366814
0.387906,0.0422869,0.0196299,0.359672
0.597175,0.0352498,0.0944529,0.32455
-0.425435,-0.0356078,-0.133281,0.0641482
0.610226,-0.546273,-1.94696,-0.229857
0.78519,-3.74832e-05,-0.181382,0.111802
0.338739,-0.364747,-0.229863,0.207728
0.255526,-0.0256753,0.156922,0.220713
0.868216,0.0273779,0.127222,-0.6628
0.307034,0.0465529,0.0880454,0.47078
-0.657066,-0.0187847,-0.000745395,0.0668051
0.875726,0.0362468,0.1557,0.198331
0.739012,0.0374528,0.139987,0.434031
0.542419,0.0378212,0.0686076,0.409127
0.582106,0.0577807,0.105204,0.281785
0.64383,0.0386268,0.122767,0.168887
0.209358,0.0424083,0.128922,0.278008
0.386224,-0.472645,0.135533,-0.305486
0.266033,0.00899568,-0.570366,-0.540218
0.718497,-0.014938,0.0987026,0.271113
0.430633,-0.242055,0.125951,0.271998
0.644084,0.031347,0.113508,0.190991
-1.20823,-2.04714,-0.000522159,0.214563
0.240065,-0.498075,-0.0982007,-0.167208
0.945815,-0.651225,-0.158632,0.0172905
0.133104,-0.780815,-1.56553,-0.127072
0.415749,-0.0837482,0.159174,0.179418
0.590925,0.0214586,-0.00488688,0.232609
-0.239962,-0.0210087,-0.0390765,0.265324
0.831119,-0.218301,0.113971,-0.135175
0.709656,-0.257724,0.0254178,0.170892
0.51102,-0.0173312,0.103916,-1.2665
-0.124715,0.0469269,0.126127,0.0361749
0.784809,-0.524884,-0.464527,-0.257948
0.0420396,-0.531152,-2.7904,-0.777361
0.390093,0.0104471,0.0688315,0.172484
-0.706308,-0.00592734,-0.0193454,0.248885
-0.0531392,-0.337137,0.143196,0.043657
0.490976,-0.206677,0.00675637,0.271526
-0.0661475,0.0508028,0.118847,0.242475
0.906442,-0.0285761,-0.00352041,0.288722
