PMTBaryTheta,PMTAvgDist,PMTAvgT,PMTQtotal,PMTQtotalClustered,PMTHits,PMTFracQmax,PMTFracQdownstream,PMTFracClustered,PMTFracLowQ,PMTFracEarly,PMTFracLate,PMTRMSTheta,PMTVarTheta,PMTRMSThetaBary,PMTVarThetaBary,PMTRMSPhi,PMTVarPhi,PMTRMSPhiBary,PMTVarPhiBary,PMTFracLargeAnglePhi,PMTFracLargeAngleTheta,PMTHitsLargeAnglePhi,PMTHitsLargeAngleTheta,LAPPDBaryTheta,LAPPDAvgDist,LAPPDQtotal,LAPPDAvgT,LAPPDHits,LAPPDRMSTheta,LAPPDVarTheta,LAPPDRMSThetaBary,LAPPDVarThetaBary,MCTrueMuonEnergy,MCTrueNeutrinoEnergy,EventNumber,MCNeutrons,MCVDistVtxWall,MCHDistVtxWall,MCVDistVtxInner,MCHDistVtxInner,MCPMTFracRing,MCPMTFracRingNoWeight,MCLAPPDFracRing,MCPMTVarTheta,MCPMTRMSTheta,MCPMTBaryTheta,MCPMTRMSThetaBary,MCPMTVarThetaBary,MCLAPPDVarTheta,MCLAPPDRMSTheta,MCLAPPDBaryTheta,MCLAPPDRMSThetaBary,MCLAPPDVarThetaBary,MCNRings,MCMultiRing,MCPDG
0.818185,1.42969,9.07029,2477.23,1898.56,57,0.110279,0.9081809999999999,0.766405,0.508772,0.0,0.21052600000000002,1.30948,1.08114,0.649518,0.22844699999999998,2.96158,3.09096,1.2657399999999999,0.9384809999999999,0.473684,0.175439,27,10,0.382731,1.4062,137,9.25077,137,0.624197,0.624197,0.268881,0.072297,536.8580000000001,-999,57,0,1.0513,0.379891,1.6411200000000001,0.32995399999999997,0.8273510000000001,0.649123,0.8394159999999999,0.552723,0.725578,0.0470325,0.6836869999999999,0.22844699999999998,0.42982700000000007,0.42982700000000007,0.280131,0.251168,0.0630852,1,0,11
0.7126279999999999,1.43963,6.14924,2943.33,2722.32,22,0.307531,0.9958379999999999,0.92491,0.409091,0.0454545,0.0,0.981806,0.7694340000000001,0.447854,0.0527707,3.67045,3.5622199999999995,0.7265550000000001,0.126435,0.0909091,0.0454545,2,1,0.368977,1.40085,101,6.2923800000000005,101,0.527729,0.527729,0.268514,0.0721,695.1360000000001,-999,108,0,1.18561,0.947427,1.37519,1.19488,0.942083,0.545455,0.970297,0.394777,0.735256,0.0238133,0.713863,0.0527707,0.507972,0.507972,0.328856,0.241457,0.058301599999999995,1,0,11
1.75537,1.68632,7.22531,842.365,0.0,28,0.121611,0.30891799999999997,0.0,0.642857,0.14285699999999998,0.07142860000000001,1.67987,1.8026200000000001,0.34294600000000003,0.127614,3.1376,2.78577,1.5808200000000001,1.87842,0.535714,0.0,15,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,386.22900000000004,-999,72,0,1.07413,0.350358,1.5959299999999998,0.284945,0.9686319999999999,0.9642860000000001,0.0,0.503319,0.506483,0.166318,0.35412899999999997,0.127614,0.0,0.0,1.43577,0.0,0.0,1,0,13
0.8609540000000001,1.38551,7.38652,2104.81,0.0,31,0.10348199999999999,0.959032,0.0,0.322581,0.06451609999999999,0.193548,1.02163,1.01967,0.409308,0.154301,3.6708199999999995,3.8624400000000003,0.72535,0.333753,0.16129000000000002,0.0322581,5,1,0.621374,1.3135,37,2.77916,37,0.7152189999999999,0.7152189999999999,0.135767,0.0184326,889.9580000000001,-999,482,0,0.983146,0.383945,1.6297,0.33613200000000004,0.9158290000000001,0.8064520000000001,0.0,0.482621,0.571663,0.120519,0.46134200000000003,0.154301,0.880618,0.880618,0.860194,0.034624199999999994,0.00119884,1,0,13
0.521805,1.2151299999999998,5.5181,1429.93,0.0,16,0.20163,0.9898889999999999,0.0,0.25,0.25,0.0625,0.811609,0.701186,0.430802,0.0946664,3.67085,3.6843,0.530325,0.143151,0.0625,0.0625,1,1,0.777486,1.27003,16,5.11566,16,0.7793720000000001,0.7793720000000001,0.0386559,0.00149428,898.57,-999,141,0,0.996714,0.626458,1.6565599999999998,0.7057220000000001,0.965957,0.75,1.0,0.503041,0.745656,0.10043400000000001,0.661327,0.0946664,0.300592,0.300592,0.291668,0.0461715,0.00213181,1,0,13
0.5968319999999999,1.35458,8.02941,1948.08,1867.77,33,0.150055,1.0,0.958775,0.333333,0.030302999999999997,0.181818,0.9338040000000001,0.857822,0.443996,0.158158,2.71841,2.60372,0.583615,0.258023,0.0606061,0.0,2,0,0.518012,1.31745,138,7.1237,138,0.697351,0.697351,0.25763800000000003,0.06637749999999999,1086.67,-999,421,0,1.0810600000000001,0.533817,1.5822100000000001,0.564537,0.932616,0.757576,0.978261,0.464366,0.617425,0.10081,0.524419,0.158158,0.33034600000000003,0.33034600000000003,0.06818919999999999,0.279001,0.0778418,1,0,13
1.10032,1.59742,6.9767,1497.97,0.0,25,0.11080599999999999,0.9798309999999999,0.0,0.28,0.0,0.04,1.15601,1.1397700000000002,0.369773,0.0908194,3.34838,3.17611,0.965829,0.5000979999999999,0.28,0.0,7,0,0.5053979999999999,1.46559,27,7.9728,27,0.566621,0.566621,0.15573900000000002,0.0242548,658.424,-999,155,0,1.2362799999999998,0.6445420000000001,1.2748700000000002,0.733282,0.941211,0.76,0.851852,0.46588,0.581753,0.0455554,0.539045,0.0908194,0.599404,0.599404,0.54077,0.210713,0.0444001,1,0,13
0.9536950000000001,1.2858,5.55321,1259.4,0.0,16,0.25845500000000005,1.0,0.0,0.3125,0.1875,0.0,0.979133,1.03298,0.36876,0.100886,2.3958,2.2438,0.443421,0.131419,0.0,0.0,0,0,0.765807,1.26805,1,6.0489999999999995,1,0.765807,0.765807,0.0,0.0,667.345,-999,219,0,0.9828100000000001,0.661578,1.62903,0.759245,0.976974,0.875,0.0,0.424332,0.553294,0.046763400000000004,0.509135,0.100886,1.30645,1.30645,1.30645,0.0,0.0,1,0,13
1.01386,1.39872,7.99947,2217.72,1448.26,31,0.0953963,0.93716,0.653042,0.12903199999999998,0.0322581,0.225806,1.12347,1.1432200000000001,0.42326899999999995,0.148009,2.60612,2.41693,0.756073,0.375742,0.225806,0.0,7,0,0.454182,1.33142,56,8.17897,56,0.6527609999999999,0.6527609999999999,0.312292,0.0975265,758.0319999999999,-999,39,0,1.21974,0.522007,1.30761,0.546539,0.9930899999999999,0.967742,0.982143,0.45769099999999996,0.5186890000000001,0.170307,0.36415,0.148009,0.446085,0.446085,0.344279,0.14933,0.022299400000000004,1,0,13
1.2719799999999999,1.22749,4.97544,610.861,0.0,14,0.383874,0.6161260000000001,0.0,0.642857,0.428571,0.0,1.0527600000000001,1.39515,0.519066,0.236319,4.04539,4.43447,0.614437,0.295437,0.214286,0.14285699999999998,3,2,0.292628,1.33994,18,7.801130000000001,18,0.553313,0.553313,0.35155,0.12358800000000002,114.01799999999999,-999,165,0,0.910056,0.367638,1.48498,0.311281,0.526814,0.785714,0.9444440000000001,0.7442770000000001,0.596206,0.137946,0.47003900000000004,0.236319,0.545987,0.545987,0.49990500000000004,0.245594,0.0603164,1,0,11
