energy, evnum, distWallVert, distWallHor, distInnerStrVert,distInnerStrHor, pmt_fracRing, lappd_fracRing, nrings, multiplerings, pdg
964.709,110,1.17189,0.611371,1.40236,0.682729,0.303142,0.389381,1,0,11
437.762,118,1.16823,0.925089,1.40961,1.16084,0.638932,0.681416,1,0,11
242.834,119,1.21535,0.42444,1.31632,0.397847,0.394411,0.23301,1,0,11
204.09,122,1.09418,0.866797,1.55622,1.072,0.397499,0.642857,1,0,11
366.839,124,0.774027,0.788303,1.21564,0.952374,0.130299,0.973684,1,0,11
467.318,127,1.17028,0.673529,1.40554,0.777458,0.400783,0.985714,1,0,11
651.96,130,0.957899,0.490622,1.57971,0.498708,0.255129,0.425532,1,0,11
1032.35,137,0.873851,0.712558,1.41329,0.836939,0.445622,0.548387,1,0,11
762.439,141,1.18687,0.538275,1.3727,0.571331,0.453232,0.651376,1,0,11
300.745,148,0.779851,0.437411,1.22717,0.417614,0.241647,0.488372,1,0,11
261.921,151,1.06174,0.769623,1.62046,0.923905,0.0138761,0.25,1,0,11
865.801,158,0.820414,0.721608,1.30749,0.850731,0.386265,0.751773,1,0,11
876.352,170,1.12731,0.394829,1.49062,0.35272,0.276218,0.561151,1,0,11
718.061,182,0.788377,0.484049,1.24405,0.488691,0.350447,0.543353,1,0,11
314.543,190,1.14392,0.622427,1.45773,0.699578,0.573381,0.55814,1,0,11
374.331,196,0.864099,0.369489,1.39398,0.314101,0.521675,0.220339,1,0,11
365.481,199,1.04322,0.432842,1.65713,0.410652,0.310194,0.877193,1,0,11
744.699,200,0.845802,0.728124,1.35775,0.860661,0.0991628,0.772727,1,0,11
616.862,208,1.22655,0.404772,1.29413,0.367872,0.176993,0.942529,1,0,11
615.285,0,0.835252,0.570787,1.33687,0.62088,0.252976,0.568807,1,0,11
251.17,1,1.09938,0.476894,1.54593,0.477786,0.381639,0.632653,1,0,11
911.307,4,1.18547,0.344082,1.37546,0.275381,0.407917,0.55303,1,0,11
1090.73,6,1.00395,0.74324,1.73487,0.883698,0.72456,0.860606,1,0,11
395.274,7,1.1675,0.672461,1.41106,0.77583,0.295121,0.97619,1,0,11
431.623,15,1.02757,0.552161,1.6881,0.592493,0.456317,0.682171,1,0,11
537.481,17,1.21193,0.410542,1.32308,0.376666,0,0.142857,1,0,11
502.665,19,1.10615,0.572403,1.53253,0.623343,0.191534,0.64,1,0,11
462.599,21,0.754192,0.414888,1.17637,0.38329,0.496179,0.448718,1,0,11
1248.65,40,0.786041,0.380707,1.23943,0.331197,0.586201,0.36272,1,0,11
901.096,44,1.17548,0.474773,1.39524,0.474554,0.420576,0.697674,1,0,11
573.336,52,1.07167,0.667913,1.6008,0.768899,0.226,0.833333,1,0,11
557.201,67,0.819939,0.846232,1.30655,1.04066,0.37168,0.829268,1,0,11
1041.6,69,1.10268,0.502174,1.53939,0.516314,0.0821531,0.153846,1,0,11
694.503,73,1.23977,0.550778,1.26796,0.590386,0.389037,0.661765,1,0,11
537.289,74,1.03153,0.691725,1.68026,0.805189,0.54474,0.483721,1,0,11
64.6837,77,0.780638,0.499678,1.22873,0.512509,0.167179,0.666667,1,0,11
769.097,88,0.831452,0.487649,1.32934,0.494177,0.0371567,0.5,1,0,11
1381.52,94,0.763305,0.421983,1.19441,0.394103,0.32392,0.217532,1,0,11
563.318,95,1.00611,0.834332,1.73061,1.02252,0.790435,0.508982,1,0,11
1068.99,98,1.01609,0.754639,1.71084,0.90107,0.395808,0.887387,1,0,11
737.597,107,1.10875,0.497908,1.52738,0.509812,0.20686,0.662651,1,0,11
412.28,121,1.02535,0.626205,1.69251,0.705336,0.591911,0.692982,1,0,11
224.964,125,1.0381,0.478997,1.66727,0.480992,0.236004,0.862069,1,0,11
680.24,140,1.13001,0.596188,1.48528,0.659591,0.380334,0.606299,1,0,11
1155.79,144,0.999503,0.49705,1.66208,0.508504,0.633119,0.643052,1,0,11
196.714,146,0.986749,0.87194,1.63683,1.07984,0.813737,0.772727,1,0,11
457.197,147,1.04692,0.631873,1.64979,0.713974,0,1,1,0,11
619.481,152,0.879441,0.543537,1.42436,0.579351,0.00633597,0.7,1,0,11
75.2348,161,1.05386,0.3482,1.63606,0.281657,0.0972531,0.4,1,0,11
899.154,166,1.2167,0.431272,1.31363,0.408259,0.287938,0.511765,1,0,11
59.0874,170,1.21324,0.549314,1.32048,0.588155,0.181475,1,1,0,11
700.914,172,0.931138,0.344785,1.52672,0.276452,0.168559,0,1,0,11
441.827,173,0.747537,0.447256,1.16319,0.432618,0.0101872,0.5,1,0,11
115.511,174,1.00742,0.638898,1.728,0.724681,0.161654,0.26087,1,0,11
1001.24,177,0.91154,0.531059,1.48792,0.560334,0.441807,0.752874,1,0,11
195.984,182,1.07432,0.55967,1.59554,0.603937,0.485462,0.5625,1,0,11
437.839,189,1.16258,0.382289,1.42079,0.333609,0.0382297,0.5,1,0,11
700.575,191,0.842919,0.397712,1.35205,0.357113,0.282158,0.551724,1,0,11
298.192,195,1.2264,0.546555,1.29444,0.583949,0.426021,0.339623,1,0,11
357.272,2,1.17224,0.446845,1.40167,0.431992,0.352679,0.485714,1,0,11
469.527,3,0.768698,0.352148,1.20509,0.287673,0.185088,0.280702,1,0,11
528.942,4,0.77713,0.456217,1.22178,0.446275,0.380546,0.59633,1,0,11
1117.12,15,0.80095,0.352983,1.26895,0.288946,0.6072,0.875912,1,0,11
321.466,23,0.889853,0.656792,1.44497,0.751951,0.0803153,0.466667,1,0,11
650.44,33,0.951103,0.39058,1.56625,0.346244,0.198939,0.909091,1,0,11
396.702,39,1.12029,0.725013,1.50452,0.85592,0.191848,0.888889,1,0,11
441.904,44,0.880711,0.643743,1.42687,0.732064,0.570552,0.634146,1,0,11
742.719,55,0.794486,0.384626,1.25615,0.337171,0.130979,0.702128,1,0,11
88.3571,56,0.75163,0.424182,1.17129,0.397453,0.365269,0.75,1,0,11
1094.28,67,1.13897,0.55594,1.46755,0.598253,0.0873368,0.139535,1,0,11
353.103,77,0.924817,0.466464,1.5142,0.461891,0.396923,0.526882,1,0,11
401.229,78,0.778417,0.60038,1.22433,0.665979,0.0518269,0.964286,1,0,11
787.74,84,0.971438,0.490181,1.60651,0.498036,0.0832511,0.0434783,1,0,11
42.4953,89,0.775192,0.616058,1.21795,0.689872,0.217912,0.5,1,0,11
77.7084,90,0.806552,0.687761,1.28004,0.799147,0.470984,0.807692,1,0,11
299.736,91,0.97588,0.616575,1.61531,0.690661,0.390465,0.540541,1,0,11
498.319,101,1.12773,0.506041,1.4898,0.522206,0.0215972,0.25,1,0,11
1118.42,102,1.16268,0.517923,1.42059,0.540315,0.165223,0.672897,1,0,11
708.526,114,0.846387,0.555055,1.35891,0.596904,0.0666516,0.428571,1,0,11
459.037,116,1.03659,0.742458,1.67025,0.882506,0.345179,0.780822,1,0,11
753.464,118,0.792362,0.923785,1.25194,1.15885,0.774762,0.867925,1,0,11
1574.74,124,1.13446,0.889887,1.47648,1.10719,0.809827,0.870968,1,0,11
599.74,127,0.867938,0.482353,1.40158,0.486105,0.479026,0.471014,1,0,11
680.695,128,0.863471,0.412024,1.39274,0.378924,0.0110829,0.466667,1,0,11
291.348,148,1.07465,0.623033,1.5949,0.700502,0.709584,0.258065,1,0,11
389.501,164,1.21538,0.433064,1.31624,0.41099,0.213066,0.757576,1,0,11
468.117,167,0.982248,0.490294,1.62792,0.498208,0.11197,0.742857,1,0,11
503.303,177,1.17217,0.364127,1.40181,0.305929,0.0268047,0,1,0,11
631.294,194,0.973257,0.71262,1.61011,0.837032,0.845697,0.812155,1,0,11
756.164,195,1.07549,0.615647,1.59324,0.689246,0.255835,0.756303,1,0,11
448.179,0,1.08032,0.461453,1.58366,0.454254,0,1,1,0,11
342.213,1,0.869348,0.630277,1.40438,0.711542,0.39066,0.721311,1,0,11
879.561,23,1.22759,0.658969,1.29207,0.755268,0.615191,0.953416,1,0,11
741.907,24,1.09627,0.443295,1.55208,0.426582,0.323252,0.301587,1,0,11
388.351,29,0.979089,0.670816,1.62166,0.773324,0.335472,0.728814,1,0,11
590.729,32,0.813289,0.543379,1.29338,0.579109,0.138382,0.57971,1,0,11
585.581,49,1.17831,0.485637,1.38965,0.49111,0.205179,0.619565,1,0,11
571.248,56,0.945484,0.604253,1.55513,0.671881,0.439123,0.411765,1,0,11
865.525,58,0.789814,0.626942,1.2469,0.70646,0.264874,0.56338,1,0,11
861.897,60,0.907144,0.698777,1.47921,0.815937,0.0454941,0.264706,1,0,11
62.1849,64,0.902047,0.408182,1.46912,0.373069,0.185834,0.777778,1,0,11
253.69,69,1.01822,0.572837,1.70662,0.624004,0.39709,0.518519,1,0,11
591.466,70,1.03356,0.695283,1.67625,0.810612,0.376837,0.571429,1,0,11
56.0082,71,1.132,0.870529,1.48135,1.07769,0.358531,1,1,0,11
709.813,74,1.02455,0.560816,1.69409,0.605684,0.465659,0.546875,1,0,11
570.908,83,1.15557,0.51605,1.43468,0.53746,0.413518,0.71875,1,0,11
1059.87,91,0.928841,0.485308,1.52217,0.490609,0.0434677,0.871429,1,0,11
1194.92,113,1.19168,0.499324,1.36318,0.51197,0.530949,0.367347,1,0,11
1023.42,121,0.798531,0.431703,1.26416,0.408916,0.127714,0.404255,1,0,11
941.549,137,0.889851,0.850505,1.44497,1.04717,0.240815,0.395,1,0,11
963.477,144,0.927825,0.50635,1.52016,0.522677,0.536789,0.394052,1,0,11
408.838,153,1.10958,0.433921,1.52573,0.412296,0.632984,0.711538,1,0,11
977.375,155,0.978754,0.576093,1.621,0.628965,0.778588,0.891566,1,0,11
235.568,159,1.22068,0.693662,1.30576,0.808141,0.581141,0.466667,1,0,11
469.38,173,0.854466,0.846708,1.37491,1.04138,0.555137,0.864583,1,0,11
598.333,180,0.880214,0.69209,1.42589,0.805745,0.338923,0.652174,1,0,11
446.176,181,0.894225,0.891967,1.45363,1.11036,0.468533,0.852459,1,0,11
74.1471,182,0.826462,0.528627,1.31946,0.556627,0,0.333333,1,0,11
333.582,183,1.02884,0.466708,1.68559,0.462262,0.247053,0.581395,1,0,11
941.407,185,0.759102,0.397929,1.18609,0.357444,0.159962,0.39521,1,0,11
102.423,188,1.12781,0.378091,1.48963,0.32721,0.194476,0.75,1,0,11
428.231,199,0.915887,0.361487,1.49652,0.301906,0.267495,0.534884,1,0,11
1208.54,206,1.06245,0.381952,1.61906,0.333095,0.454875,0.65371,1,0,11
197.362,3,0.95202,0.685659,1.56807,0.795945,0.123213,1,1,0,11
280.545,12,0.936026,0.369609,1.5364,0.314283,0.261541,0.87037,1,0,11
775.536,23,1.05863,0.554933,1.62661,0.596718,0.295172,0.752475,1,0,11
619.627,31,0.7713,0.357895,1.21024,0.296433,0.115979,0.571429,1,0,11
383.575,35,1.16654,0.46042,1.41295,0.45268,0.322399,0.725,1,0,11
