pmtHits,pmtTotalQ,pmtAvgT,pmtBaryAngle,pmtRmsAngle,pmtVarAngle,pmtSkewAngle,pmtKurtAngle,pmtRmsBary,pmtVarBary,pmtSkewBary,pmtKurtBary,pmtRmsPhi,pmtVarPhi,pmtFracHighestQ,pmtFracDownstream,pmtFracClustered,pmtFracLowQ,pmtFracLateT,pmtFracEarlyT,pmtLargeAngleAngle,pmtLargeAnglePhi,lappdHits,lappdAvgT,lappdBaryAngle,lappdRmsAngle,lappdVarAngle,lappdSkewAngle,lappdKurtAngle,lappdRMSBary,lappdVarBary,lappdSkewBary,lappdKurtBary,mrdPaddles,mrdLayers,mrdConslayers,mrdClusters,mrdPaddlesPerLayer,mrdXSpread,mrdYSpread,mrdAdjacentHits,nrings,multiplerings,energy,evnum,mcevnum
29,1881.94,7.00512,0.43743,0.853944,0.52589,0.476255,-0.354463,0.477748,0.136158,0.083706,0.00428862,0.807436,0.531315,0.114797,1,1,0.241379,0.137931,0.137931,0.0344828,0.241379,77,7.76585,0.130933,0.648735,0.420857,0.292567,-0.321374,0.522765,0.273283,0.157361,-0.129353,4,4,3,0,1,0,0,0,1,0,736.59,424,233
46,2308.79,9.38337,0.531109,1.14512,0.995287,1.56963,0.17611,0.717448,0.373224,0.554296,0.649402,0.699125,0.431666,0.108407,0.951561,1,0.282609,0.326087,0.0217391,0.0869565,0.0869565,150,9.18087,0.167171,0.566505,0.320928,0.22353,-0.147844,0.429673,0.184619,0.0990969,-0.045172,2,2,1,0,1,0,0,0,1,0,764.299,444,244
32,1986.68,8.32127,0.60511,0.987166,0.70182,0.752769,-0.576523,0.497051,0.14807,0.0921363,0.0155939,0.524005,0.126151,0.24178,0.993587,1,0.3125,0.09375,0,0.03125,0.03125,85,8.42601,0.1481,0.481291,0.231641,0.154324,-0.0539034,0.374554,0.140291,0.0733228,-0.0174001,4,4,1,0,1,0,0,0,1,0,658.13,421,229
29,2041.76,7.22599,0.866496,1.00965,0.929385,1.04812,-1.33436,0.378002,0.118124,0.0119147,-0.0128769,0.594509,0.285114,0.0879276,1,1,0.137931,0,0,0,0.0344828,47,8.59527,0.254212,0.49494,0.244965,0.170608,-0.0563918,0.33422,0.111703,0.0428184,-0.0137001,7,5,2,0,1.4,0,0.1015,0,1,0,742.226,720,396
36,2263.18,8.54462,0.539926,0.91183,0.625102,0.598593,-0.547692,0.451114,0.1243,0.0703605,0.00183552,0.43558,0.132749,0.204913,1,1,0.194444,0.0833333,0,0,0,129,8.47441,0.287701,0.579713,0.336068,0.224417,-0.183153,0.336631,0.11332,0.0423903,-0.0179378,8,6,4,1,1.33333,0,0.3045,0,1,0,882.733,311,180
47,2257.19,9.1488,0.425945,1.07996,0.71186,0.801871,-0.468731,0.710264,0.250488,0.225649,0.0716406,0.587783,0.177437,0.0980986,0.9899,1,0.382979,0.297872,0.0212766,0.191489,0.0425532,125,9.07229,0.120711,0.530357,0.281279,0.191986,-0.10116,0.433927,0.188292,0.107841,-0.0411997,0,0,0,0,0,0,0,0,1,0,712.174,536,286
31,1974.85,6.94042,0.489761,1.04047,0.592813,0.664812,-0.0485614,0.664555,0.15944,0.170914,0.214796,1.05195,0.636912,0.115971,0.987553,1,0.387097,0.0645161,0.0645161,0.0967742,0.322581,70,7.13493,0.163962,0.681892,0.464977,0.33882,-0.395142,0.524515,0.275115,0.159004,-0.131741,8,6,0,1,1.33333,0,0.076125,0,1,0,985.595,889,483
24,1586.22,6.78835,0.188621,0.812045,0.33405,0.273095,-0.0339511,0.648895,0.172179,0.133222,0.0643599,0.714249,0.173808,0.150866,0.991437,1,0.291667,0.0416667,0,0.125,0.0416667,159,6.74533,0.136102,0.500708,0.250708,0.175236,-0.0620923,0.402965,0.162381,0.0921627,-0.0237816,12,10,0,1,1.2,0.1071,0.0812,0,1,0,1044.22,17,11
17,1402.14,5.54525,0.697838,0.869804,0.690753,0.67129,-0.736533,0.354637,0.0903304,0.0236016,-0.00704544,0.613802,0.261522,0.222072,1,1,0.235294,0.117647,0.294118,0,0.0588235,146,4.96744,0.618876,0.710133,0.504289,0.38756,-0.462571,0.246894,0.0609569,-0.0186487,0.00238324,5,4,0,1,1.25,0.19125,0,0,1,0,747.997,32,20
24,2048.76,6.63406,0.994531,1.0477,1.24456,1.6224,-2.37654,0.424406,0.153601,0.0284672,-0.00515131,0.906069,0.649327,0.286339,0.901125,1,0.291667,0.0833333,0.166667,0,0.5,78,8.14956,0.420887,0.669396,0.448091,0.329375,-0.353081,0.302422,0.0914591,0.0260188,-0.0118022,6,5,1,1,1.2,0,0.1015,0,1,0,1093.76,372,208
