pmtHits,pmtTotalQ,pmtAvgT,pmtBaryAngle,pmtRmsAngle,pmtVarAngle,pmtSkewAngle,pmtKurtAngle,pmtRmsBary,pmtVarBary,pmtSkewBary,pmtKurtBary,pmtRmsPhi,pmtVarPhi,pmtFracHighestQ,pmtFracDownstream,pmtFracClustered,pmtFracLowQ,pmtFracLateT,pmtFracEarlyT,pmtLargeAngleAngle,pmtLargeAnglePhi,lappdHits,lappdAvgT,lappdBaryAngle,lappdRmsAngle,lappdVarAngle,lappdSkewAngle,lappdKurtAngle,lappdRMSBary,lappdVarBary,lappdSkewBary,lappdKurtBary,mrdPaddles,mrdLayers,mrdConslayers,mrdClusters,mrdPaddlesPerLayer,mrdXSpread,mrdYSpread,mrdAdjacentHits,multiplerings
23,1682.98,7.05071,0.299243,0.83652,0.372577,0.309201,-0.0972437,0.586455,0.129709,0.0971404,0.0472827,1.04396,0.547739,0.184904,0.993554,1,0.347826,0.0869565,0.173913,0.130435,0.304348,61,7.35069,0.154535,0.598128,0.357758,0.236419,-0.222451,0.454919,0.206951,0.107364,-0.0696174,10,8,7,1,1.25,0.255,0,0,1
19,1312.57,5.6745,0.703828,0.850807,0.654849,0.602517,-0.699369,0.319475,0.0690461,0.012599,-0.00286834,0.774374,0.438116,0.268619,1,1,0.368421,0,0.263158,0,0.315789,55,6.45919,0.359862,0.56956,0.324398,0.222093,-0.159141,0.304459,0.0926954,0.0202501,-0.0136302,11,9,3,1,1.22222,0.11475,0,1,1
60,5057.21,8.46728,0.915196,1.24428,1.37087,2.007,-2.47306,0.55148,0.281148,0.122406,-0.0573003,0.924136,0.49671,0.183706,0.883828,1,0.283333,0.25,0.0666667,0.1,0.266667,170,9.19865,0.159132,0.554651,0.307638,0.212818,-0.131712,0.426315,0.181745,0.0980187,-0.0426226,7,5,4,1,1.4,0.381649,0,0,1
41,2262.01,6.9415,1.33157,1.50959,2.05851,3.22423,-7.44466,0.425488,0.141256,0.0110124,-0.00861026,1.96287,3.08547,0.132843,0.671479,1,0.365854,0.0487805,0.121951,0.0243902,0.756098,16,5.76097,0.646408,0.72734,0.529023,0.406628,-0.523562,0.208315,0.0433951,-0.013347,0.00486257,7,4,2,0,1.75,0,0.177603,0,1
50,3469.62,7.41277,0.690959,1.2729,1.23038,1.72825,-1.87144,0.719473,0.328728,0.277275,0.00485908,1.24855,0.825178,0.0735144,0.889937,1,0.28,0.08,0.02,0.22,0.48,103,7.19805,0.24099,0.57444,0.329981,0.222738,-0.170706,0.372656,0.138873,0.0602523,-0.0271966,3,3,1,0,1,0,0,0,1
31,1627.38,6.85798,0.785303,1.22471,1.06535,1.40413,-1.2838,0.647093,0.205749,0.14898,0.0849386,1.12753,0.55341,0.136257,0.948239,1,0.419355,0.0967742,0.0322581,0.129032,0.258065,197,6.22981,0.669986,0.742108,0.550725,0.431464,-0.569491,0.210537,0.044326,-0.0161769,0.00534617,5,5,1,0,1,0,0,0,1
22,1655.4,6.84823,0.0762842,0.787312,0.315212,0.250774,-0.0228385,0.721019,0.243125,0.187107,0.0315215,0.787486,0.280489,0.140878,0.992077,1,0.272727,0.0454545,0.0454545,0.0909091,0.0909091,314,5.53114,0.0554516,0.334386,0.111814,0.0742557,0.0143933,0.30251,0.0915122,0.0574288,0.0122353,7,5,3,0,1.4,0,0.0609,0,1
68,2968.63,7.40754,0.551137,1.52396,1.48998,2.57141,-1.62474,1.04585,0.630235,0.902324,0.275929,1.3505,1.03735,0.0714837,0.80975,1,0.588235,0.147059,0.0147059,0.455882,0.411765,264,5.7567,0.456557,0.513925,0.264119,0.149145,-0.123418,0.182363,0.0332562,-0.00692487,0.000799877,6,5,0,1,1.2,0.2295,0,0,1
56,3865.03,8.47967,0.84919,1.36945,1.19623,1.65375,-1.69249,0.71778,0.220839,0.154894,0.0857002,1.22465,0.735083,0.0737822,0.925152,1,0.392857,0.214286,0.0535714,0.232143,0.5,97,9.02042,0.252983,0.673399,0.453466,0.348437,-0.344697,0.456408,0.208308,0.105406,-0.0719176,4,4,0,0,1,0,0,0,1
27,1830.91,7.74361,0.285917,0.904495,0.43669,0.42961,0.0050517,0.669676,0.183706,0.175224,0.15072,0.597016,0.151749,0.172465,0.993429,1,0.259259,0.111111,0,0.0740741,0.037037,133,7.20333,0.236067,0.519488,0.269868,0.189747,-0.0806492,0.360227,0.129763,0.0548153,-0.0203366,6,4,2,0,1.5,0,0.135333,1,1
61,4737.94,8.45416,0.381417,1.21505,1.33487,1.85895,-2.58781,0.873628,0.67243,0.738272,-0.483537,0.986953,0.636141,0.0839742,0.883854,1,0.377049,0.229508,0.0163934,0.42623,0.311475,126,8.57389,0.316492,0.535323,0.286571,0.188698,-0.116845,0.302691,0.0916217,0.0250065,-0.0114044,2,2,1,0,1,0,0,0,1
31,2195.45,8.00093,0.207997,0.863228,0.411114,0.351183,-0.16262,0.676059,0.214998,0.160338,0.00144577,0.800057,0.41167,0.221915,0.994926,1,0.354839,0.129032,0.0322581,0.129032,0.193548,171,6.74725,0.0599214,0.497971,0.247975,0.177097,-0.0537933,0.453483,0.205646,0.136432,-0.0336118,17,9,0,1,1.88889,0.200812,0.186083,0,1
35,2171.59,7.75642,0.352079,0.918193,0.562281,0.538953,-0.367207,0.609074,0.205352,0.155374,0.0100928,0.70273,0.276923,0.10426,0.993925,1,0.4,0.171429,0,0.171429,0.0571429,131,7.00478,0.298378,0.629802,0.39665,0.288035,-0.258172,0.383352,0.146958,0.0580155,-0.0352457,8,6,4,0,1.33333,0,0.126875,0,1
48,3617.35,7.489,0.551028,1.19863,1.0482,1.49321,-0.9037,0.753744,0.374469,0.400966,0.0888763,0.979936,0.591207,0.100859,0.882135,1,0.291667,0.0833333,0.0208333,0.208333,0.208333,112,7.10514,0.166996,0.493043,0.243091,0.167758,-0.0572017,0.377153,0.142244,0.0735623,-0.0184088,7,4,0,1,1.75,0.26775,0.05075,0,1
57,2928.92,7.32654,1.05615,1.58971,1.91983,3.65343,-3.35356,0.797538,0.498963,0.410574,-0.0427362,1.09332,0.629699,0.116574,0.720453,1,0.45614,0.0526316,0.0350877,0.263158,0.368421,67,7.92744,0.307159,0.541099,0.292788,0.214966,-0.0950716,0.350391,0.122774,0.03799,-0.0224718,5,4,3,0,1.25,0,0,0,1
51,3044.3,7.58201,0.833354,1.31546,1.41891,2.34925,-1.63123,0.682681,0.3813,0.388312,0.130368,1.1846,1.11867,0.140823,0.851918,1,0.411765,0.137255,0.0588235,0.235294,0.372549,75,8.62625,0.183857,0.622693,0.387747,0.28165,-0.240218,0.46354,0.214869,0.118564,-0.0690034,3,2,0,0,1.5,0.0765,0,0,1
