nrings,energy,evnum,mcevnum
2,801.604,761,415
6,609.595,175,103
2,933.148,240,136
2,1031.81,839,460
2,1222.3,308,161
2,984.581,615,358
3,550.114,616,359
2,569.532,790,451
3,1126.7,880,493
2,661.164,68,43
2,1061.56,349,208
7,892.706,470,257
2,649.167,553,296
2,1124.27,823,458
2,845.976,306,165
2,878.51,56,25
2,682.095,64,28
7,622.953,76,37
2,757.197,613,331
2,905.04,336,172
2,1053.8,484,254
2,680.786,606,327
2,628.75,42,27
2,994.412,564,306
2,786.207,658,359
2,636.073,717,395
2,843.163,207,103
2,633.615,461,247
2,655.452,509,272
2,1058.41,12,8
4,1011.66,356,210
2,795.877,260,138
2,924.159,639,332
2,721.42,936,482
2,993.284,13,9
2,1019.42,49,34
2,723.439,443,253
2,525.618,682,381
2,784.815,772,431
3,775.596,192,112
2,689.329,409,224
4,814.83,44,21
3,590.202,521,281
2,851.745,85,41
3,805.963,235,112
3,840.009,542,281
3,1068.44,321,182
3,1104.46,452,250
2,570.067,778,434
4,996.033,608,321
2,760.295,104,54
2,747.836,363,192
2,1189.48,501,275
2,535.439,776,412
2,850.51,11,6
2,769.662,110,70
2,970.145,256,145
2,827.323,372,218
3,952.46,333,185
2,1091.54,676,360
2,641.038,787,428
2,655.16,306,173
2,960.643,255,136
2,769.395,653,375
2,927.185,189,111
2,726.854,267,158
2,945.774,738,402
2,847.7,517,298
2,774.721,753,409
2,672.348,768,419
2,760.485,281,153
2,1186.15,574,298
2,603.71,87,40
2,655.259,266,130
3,818.022,443,236
2,826.885,469,251
2,946.971,817,447
2,825.588,820,450
2,822.344,686,379
3,917.994,257,157
2,816.322,734,411
3,742.651,362,189
2,787.646,691,377
2,704.99,841,452
2,1261.62,382,202
2,822.972,411,213
2,858.139,661,342
2,986.034,6,4
2,988.967,206,105
2,1134.28,750,393
2,680.291,747,400
4,1286.21,413,222
2,771.208,470,259
2,565.6,477,262
2,717.676,236,123
2,910.518,276,144
2,572.288,555,299
3,658.351,835,446
2,870.749,120,69
2,720.878,440,242
3,1154.49,617,330
2,749.545,488,276
2,647.189,515,291
2,899.342,54,39
2,1088.67,553,308
2,760.493,581,352
3,797.343,131,65
2,551.429,463,240
3,761.269,506,266
2,1019.53,908,477
4,516.479,308,143
2,533.004,403,190
3,776.138,117,67
2,571.335,595,344
3,923.553,770,436
3,738.257,820,458
2,774.85,644,378
2,718.059,660,366
2,583.907,677,371
2,611.269,521,273
2,1179.91,786,430
2,825.719,627,340
2,869.837,325,189
2,572.545,819,422
2,677.045,935,486
2,509.52,238,137
2,621.014,762,421
2,701.499,23,12
2,744.886,577,308
2,597.103,19,9
3,866.781,621,356
2,727.017,660,372
2,871.851,687,392
3,630.254,796,440
2,857.044,123,61
2,897.63,725,383
4,799.439,920,485
2,981.88,370,199
2,579.25,423,225
2,607.649,281,141
3,1148.25,546,265
2,1291.21,878,438
2,652.099,708,395
2,777.999,755,418
3,833.136,140,87
2,798.392,679,402
2,1192.9,532,285
3,1096.11,713,379
2,969.811,746,396
2,1260.01,188,104
2,728.935,289,165
4,751.502,53,34
3,731.235,364,206
2,615.331,862,467
2,974.209,341,188
2,825.852,149,75
2,939.674,711,382
2,912.683,801,435
2,808.963,43,26
3,1041.8,163,82
2,816.199,265,138
2,711.159,833,458
5,1168.06,257,139
2,573.12,761,422
3,587.115,442,229
2,1178.59,646,339
3,916.072,302,153
2,699.883,455,252
2,1132.76,868,474
4,734.292,487,273
2,816.081,855,462
2,1108.7,24,16
2,1203.9,286,147
2,981.771,354,192
2,1006.59,607,325
2,864.199,810,435
2,777.405,838,452
3,717.508,338,172
2,1168.59,427,214
2,868.518,114,68
2,905.947,704,389
2,778.188,96,54
4,1056.99,684,368
3,773.757,851,479
2,665.725,481,257
2,822.658,205,95
5,1085.39,722,366
2,630.159,514,274
2,773.455,803,435
3,676.097,71,41
2,811.482,175,100
2,790.021,196,111
3,634.218,623,359
2,740.109,725,420
3,728.088,809,467
2,964.515,145,79
2,652.917,149,82
2,701.846,404,233
2,678.275,42,26
2,723.335,742,397
2,837.657,113,54
2,931.81,172,98
2,1058.74,521,286
2,876.081,804,447
2,1121.17,2,1
2,796.151,316,180
3,684.074,680,383
3,922.108,46,34
2,759.419,483,265
2,854.618,732,380
2,848.63,589,285
2,1144.68,856,492
7,1262.58,125,65
2,578.538,296,162
3,640.213,241,133
2,714.878,462,248
2,1077.95,321,181
3,778.001,445,247
2,909.741,770,428
2,568.853,663,359
2,1238.14,122,64
2,1153.29,313,167
2,1137.31,371,195
2,627.573,392,206
2,1156.94,435,232
2,580.879,550,295
2,975.975,634,347
2,554.793,133,79
2,861.053,176,99
3,842.798,476,251
2,690.491,419,198
2,600.227,777,412
2,709.874,856,489
2,665.509,863,494
2,925.052,632,354
2,663.434,797,443
2,1124.61,476,269
2,967.584,639,367
2,506.719,699,398
2,514.486,876,463
2,537.367,215,104
2,913.612,218,106
2,896.672,805,436
2,1295.74,249,131
2,748.043,665,367
2,1153.1,750,412
3,811.311,282,160
3,670.162,466,260
3,957.077,512,284
2,928.41,706,384
3,1029.47,467,253
2,1061.02,659,353
2,740.144,478,277
2,695.909,846,478
2,902.887,862,484
2,848.914,60,28
2,768.56,35,25
2,690.892,259,153
2,918.583,523,303
2,1097.05,730,422
2,654.716,334,170
2,894.636,676,350
3,792.697,71,42
3,710.177,75,44
2,760.816,303,171
3,612.939,649,366
2,747.227,145,78
2,1231.27,189,104
2,540.653,756,383
2,636.219,794,404
2,811.563,755,393
2,631.387,730,390
3,817.219,88,43
2,813.143,43,25
4,921.857,55,32
2,646.01,613,337
3,861.581,705,386
2,872.395,487,269
2,928.944,586,330
2,988.127,607,343
2,779.127,831,473
2,1225.2,57,25
2,1026.85,145,71
2,500.061,582,308
2,955.951,900,475
2,932.784,158,95
2,783.749,651,381
2,676.796,677,397
2,1108.32,376,205
2,522.288,797,428
2,712.856,524,276
2,1149.83,601,311
2,890.31,132,63
2,971.655,681,378
2,840.945,883,488
3,713.196,787,445
2,667.889,90,53
4,886.923,192,106
4,678.54,335,181
2,766.617,492,263
3,837.009,292,164
4,961.396,571,309
2,610.879,857,464
2,608.545,130,65
2,1036.78,342,176
2,1278.14,800,445
3,1079.06,900,483
3,1030.75,451,240
2,828.636,572,309
2,877.218,312,167
2,848.592,61,41
2,739.766,437,260
2,1275.55,532,309
3,548.209,544,312
3,1008.51,619,350
2,668.862,232,123
2,452.571,509,269
2,1102.8,522,276
3,653.24,543,290
2,1057.97,339,178
2,569.138,290,164
3,617.196,398,224
2,735.787,695,376
2,799.804,347,202
2,814.066,48,22
2,1010.47,154,85
2,745.551,351,190
2,740.827,524,287
5,832.274,792,428
2,769.309,245,140
2,586.373,413,217
2,572.017,90,47
3,601.777,415,236
3,1034.76,675,384
3,968.201,355,193
2,933.709,301,155
3,1104.98,779,417
3,618.327,858,457
3,816.544,866,462
3,1251.2,530,269
2,1168.52,563,286
2,893.815,835,419
3,736.278,833,480
2,1102.51,719,402
2,772.51,17,11
4,875.341,32,17
3,1175.45,72,36
2,988.408,421,224
2,1285.83,559,301
2,919.821,595,311
2,687.033,428,218
3,665.938,454,234
2,591.644,9,8
2,1057.1,790,422
2,547.75,386,208
2,818.553,158,105
2,806.73,385,214
2,1129.51,511,280
3,1017.23,839,478
2,918.341,844,483
2,700.104,373,217
4,943.996,447,252
2,682.412,604,333
2,550.725,644,353
2,899.678,36,17
5,825.222,203,113
2,853.602,555,291
3,849.854,795,407
2,691.797,383,213
2,925.901,423,233
2,621.103,42,25
2,673.764,413,221
2,660.803,533,289
2,862.249,887,463
2,768.19,250,139
5,850.66,330,179
2,740.279,711,403
2,667.835,30,17
2,885.844,779,409
2,886.691,159,86
3,712.597,802,438
2,1071.01,49,28
2,907.375,84,50
2,685.927,454,233
3,1020.12,439,233
2,754.172,874,469
3,1071,392,220
2,976.792,836,481
2,763.645,874,484
2,644.961,401,210
3,561.022,608,320
2,759.224,82,41
2,686.51,942,483
2,881.032,433,241
3,1203.63,183,103
2,944.446,502,274
2,1001.83,717,374
2,672.118,729,383
5,1029.04,827,429
5,507.33,288,171
2,921.737,653,346
3,719.005,548,287
3,995.508,610,323
2,552.223,19,9
2,1207.96,589,320
2,809.587,569,311
5,1079.76,769,415
2,755.194,199,119
2,1321.79,273,161
2,657.97,79,41
3,754.34,163,96
3,720.122,460,258
2,919.456,199,109
2,778.318,122,66
2,753.184,246,135
2,608.796,619,333
4,739.987,769,415
3,658.839,778,422
2,772.726,352,193
2,894.39,823,452
