pmtHits,pmtTotalQ,pmtAvgT,pmtBaryAngle,pmtRmsAngle,pmtVarAngle,pmtSkewAngle,pmtKurtAngle,pmtRmsBary,pmtVarBary,pmtSkewBary,pmtKurtBary,pmtRmsPhi,pmtVarPhi,pmtFracHighestQ,pmtFracDownstream,pmtFracClustered,pmtFracLowQ,pmtFracLateT,pmtFracEarlyT,pmtLargeAngleAngle,pmtLargeAnglePhi,lappdHits,lappdAvgT,lappdBaryAngle,lappdRmsAngle,lappdVarAngle,lappdSkewAngle,lappdKurtAngle,lappdRMSBary,lappdVarBary,lappdSkewBary,lappdKurtBary,mrdPaddles,mrdLayers,mrdConslayers,mrdClusters,mrdPaddlesPerLayer,mrdXSpread,mrdYSpread,mrdAdjacentHits,nrings,multiplerings,energy,evnum,mcevnum
100,2191.97,14.4196,1.07415,1.72035,1.47126,2.13011,-2.99397,0.818688,0.162866,0.116841,0.102781,1.74666,0.692645,0.135486,0.911835,1,0.85,0.72,0,0.3,0.68,28,7.46217,0.539003,0.583,0.339889,0.201875,-0.224748,0.0730899,0.00534213,0.00105078,0.000178624,0,0,0,0,0,0,0,0,1,0,666.315,38,37
100,1942.68,11.0688,0.991725,1.66929,1.40236,2.01979,-2.63791,0.85386,0.199282,0.124901,0.0721428,1.609,0.537517,0.312567,0.871994,1,0.85,0.59,0.02,0.31,0.51,132,5.71252,0.789889,0.805299,0.648507,0.530147,-0.826402,0.109902,0.0120784,-0.00612126,0.0040838,5,3,1,0,1.66667,0.3825,0.3045,0,1,0,446.63,44,43
104,1864,10.9102,0.984735,1.52022,1.41396,1.97127,-3.0054,0.721409,0.191762,0.0769033,0.0334867,2.01666,1.43739,0.287193,0.932084,1,0.884615,0.557692,0.0480769,0.192308,0.855769,52,7.5734,0.402675,0.643106,0.413586,0.301122,-0.287101,0.311751,0.0971886,0.0252544,-0.013823,4,4,1,0,1,0,0,0,1,0,812.087,48,47
110,2854.37,11.8595,0.485051,1.61575,0.794327,1.13585,0.132833,1.18514,0.301384,0.395697,0.383422,1.5965,0.510625,0.16912,0.933485,1,0.818182,0.554545,0,0.490909,0.563636,166,6.74702,0.272165,0.535372,0.286623,0.189373,-0.116838,0.330464,0.109206,0.0378568,-0.0167046,0,0,0,0,0,0,0,0,1,0,657.614,50,49
125,4991.03,11.9188,0.54079,1.65061,0.788272,1.02423,-0.228015,1.16585,0.244684,0.265385,0.220649,1.8432,0.651272,0.126682,0.952271,1,0.872,0.616,0.016,0.528,0.752,337,5.61602,0.432494,0.626628,0.392662,0.294524,-0.237069,0.322642,0.104098,0.0127049,-0.0188006,5,5,1,0,1,0,0,0,1,0,871.59,55,54
85,1094.15,10.2821,1.49117,1.57469,2.50148,4.45742,-10.4302,0.575578,0.248652,-0.0360808,-0.0200231,1.28926,0.483788,0.116258,0.504223,1,0.858824,0.435294,0,0.152941,0.4,19,10.2987,0.652977,0.736418,0.542311,0.440326,-0.522182,0.281219,0.0790844,-0.0291019,0.00182973,0,0,0,0,0,0,0,0,1,0,221.897,56,55
30,309.99,8.12143,1.74094,1.61696,3.07057,5.59035,-17.9673,0.650192,0.123548,-0.112526,0.131087,2.117,1.44514,0.662703,0.163228,1,0.966667,0.266667,0.166667,0.2,0.866667,2,12.4385,0.523987,0.685321,0.469665,0.328423,-0.429238,0.175981,0.0309695,0.00686761,-0.00128635,0,0,0,0,0,0,0,0,1,0,371.15,57,56
120,3838.41,12.1734,1.28275,1.66475,1.97883,3.24221,-6.02744,0.67254,0.232442,0.0427886,0.00373861,1.87456,2.32935,0.0677796,0.710638,1,0.65,0.516667,0.0333333,0.183333,0.716667,46,9.74236,0.403464,0.554188,0.307124,0.190046,-0.161236,0.228749,0.052326,0.00534676,-0.00266481,0,0,0,0,0,0,0,0,1,0,643.167,60,59
78,860.067,10.7046,0.330604,1.44512,0.966366,1.29792,-0.716407,1.15322,0.493112,0.592227,0.157653,1.24357,0.562028,0.0985506,0.932341,1,0.871795,0.448718,0.025641,0.474359,0.410256,42,8.29149,0.261497,0.744694,0.554569,0.437514,-0.573649,0.497936,0.247941,0.131674,-0.112148,0,0,0,0,0,0,0,0,1,0,188.729,61,60
103,3176.77,11.0416,1.00103,1.60293,1.52566,2.30367,-3.18384,0.793147,0.262835,0.119712,0.00545015,1.21546,0.466492,0.0646384,0.877042,1,0.669903,0.378641,0,0.262136,0.407767,65,9.42847,0.288645,0.59839,0.358071,0.262041,-0.186712,0.376445,0.141711,0.057676,-0.0288567,0,0,0,0,0,0,0,0,1,0,575.931,66,65
91,2030.53,11.93,1.1122,1.67994,1.65473,2.52994,-3.99468,0.783713,0.225788,0.0805561,0.0275911,1.57355,0.680742,0.122351,0.809057,1,0.769231,0.516484,0.010989,0.263736,0.582418,70,8.1867,0.471821,0.654443,0.428296,0.307807,-0.324522,0.263743,0.0695604,0.00797615,-0.00685286,0,0,0,0,0,0,0,0,1,0,484.827,73,71
75,1735.56,10.8638,1.06417,1.60176,1.46491,2.07907,-3.1856,0.769606,0.170202,0.0715828,0.0542197,1.60834,0.519354,0.13845,0.899269,1,0.786667,0.48,0.0266667,0.213333,0.573333,83,5.96634,0.675414,0.738046,0.544712,0.420772,-0.562431,0.187041,0.0349843,-0.012474,0.00501986,0,0,0,0,0,0,0,0,1,0,714.366,78,76
112,1463.67,13.1996,0.560953,1.63865,1.30714,2.09868,-1.28282,1.1411,0.513893,0.65467,0.211361,1.27307,0.582219,0.0800919,0.846509,1,0.848214,0.6875,0,0.491071,0.419643,38,9.84849,0.204771,0.528145,0.278938,0.180487,-0.11173,0.363715,0.132289,0.0584689,-0.0225258,0,0,0,0,0,0,0,0,1,0,482.596,82,80
99,1861.25,10.5325,0.51702,1.6039,1.04306,1.44176,-0.880542,1.15165,0.36306,0.420372,0.244168,1.61984,0.73316,0.105322,0.938569,1,0.79798,0.474747,0.020202,0.464646,0.616162,68,7.37048,0.427382,0.699743,0.489641,0.362688,-0.445453,0.304174,0.0925219,0.0285111,-0.0137376,0,0,0,0,0,0,0,0,1,0,329.965,83,81
111,3210.81,11.1701,1.34376,1.63095,2.06704,3.4054,-6.82292,0.643839,0.218713,0.0113649,0.00633758,1.22087,0.669419,0.169399,0.681427,1,0.765766,0.459459,0.018018,0.18018,0.441441,26,11.2063,0.341461,0.568247,0.322905,0.213337,-0.16649,0.294257,0.0865875,0.023505,-0.0103706,0,0,0,0,0,0,0,0,1,0,503.269,90,87
99,1901.66,11.1625,1.3185,1.61986,2.1361,3.68393,-6.94631,0.641045,0.310107,-0.00799714,-0.0649975,1.20469,0.691914,0.0480569,0.636391,1,0.767677,0.373737,0.020202,0.161616,0.393939,43,9.41331,0.137573,0.4168,0.173722,0.124493,0.00174692,0.339477,0.115245,0.0661638,0.00108954,0,0,0,0,0,0,0,0,1,0,311.606,96,93
114,2364.2,11.9827,0.373137,1.60538,0.930563,1.3837,-0.124573,1.26934,0.463202,0.629576,0.392216,1.27392,0.382429,0.188747,0.915524,1,0.815789,0.517544,0,0.640351,0.394737,131,8.14386,0.101748,0.430213,0.185083,0.124489,-0.0158122,0.363888,0.132414,0.0765584,-0.0060127,4,2,1,0,2,0,0,1,1,0,561.664,103,100
117,3378.61,11.0376,2.58788,1.70014,5.78674,14.5566,-63.235,1.18798,0.28279,-0.338507,0.255069,2.37235,1.92852,0.228253,0.0799209,1,0.846154,0.589744,0.0683761,0.555556,0.940171,2,16.3888,0.350222,0.517047,0.267337,0.191399,-0.0757573,0.32289,0.104258,0.0176662,-0.0203948,0,0,0,0,-0,0,0,0,1,0,596.263,114,111
124,4165.49,12.4768,0.413055,1.65936,0.803804,1.02655,-0.338542,1.28725,0.320615,0.365116,0.224147,1.77692,0.775029,0.119934,0.951212,1,0.790323,0.685484,0.0322581,0.612903,0.741935,268,6.28648,0.472261,0.689945,0.476024,0.358527,-0.405368,0.29392,0.0863888,0.0127825,-0.0117696,6,4,3,0,1.5,0.25375,0,0,1,0,967.227,120,117
