PMTBaryTheta,PMTAvgDist,PMTAvgT,PMTQtotal,PMTQtotalClustered,PMTHits,PMTFracQmax,PMTFracQdownstream,PMTFracClustered,PMTFracLowQ,PMTFracEarly,PMTFracLate,PMTRMSTheta,PMTVarTheta,PMTRMSThetaBary,PMTVarThetaBary,PMTRMSPhi,PMTVarPhi,PMTRMSPhiBary,PMTVarPhiBary,PMTFracLargeAnglePhi,PMTFracLargeAngleTheta,PMTHitsLargeAnglePhi,PMTHitsLargeAngleTheta,LAPPDBaryTheta,LAPPDAvgDist,LAPPDQtotal,LAPPDAvgT,LAPPDHits,LAPPDRMSTheta,LAPPDVarTheta,LAPPDRMSThetaBary,LAPPDVarThetaBary,MrdLayers,MrdPaddles,MrdConsLayers,MrdAdjHits,MrdPadPerLayer,MrdXSpread,MrdYSpread,MrdClusters
0.937548,1.45971,7.8737,1861.05,1165.82,40,0.0903888,0.939876,0.62643,0.425,0.025,0.175,1.27534,1.10897,0.582167,0.218071,3.60926,3.47382,1.13404,0.821684,0.4,0.1,16,4,0.381882,1.33163,45,7.71323,45,0.660122,0.660122,0.340981,0.116268,0,0,0,0,0,0,0,0
0.59517,1.4472,8.41776,3487.71,3122.35,31,0.258181,0.988684,0.895243,0.516129,0,0.258065,1.12862,0.721485,0.651298,0.0890928,3.38709,3.34293,0.866082,0.171981,0.193548,0.0967742,6,3,0.462952,1.44847,392,5.85185,392,0.515079,0.515079,0.186049,0.0346143,0,0,0,0,0,0,0,0
0.301256,1.35233,6.8853,2486.88,2422.52,24,0.265254,0.995556,0.974119,0.333333,0.0833333,0.166667,0.87614,0.55435,0.622588,0.0944748,3.54062,3.44566,0.843296,0.33503,0.25,0.208333,6,5,0.306948,1.35547,100,5.98503,100,0.602774,0.602774,0.349401,0.122081,4,5,2,0,1.25,0,0.0338333,0
0.638331,1.38188,6.90054,1858.59,1497.9,29,0.105962,1,0.805934,0.275862,0,0.0689655,0.929171,0.826165,0.416271,0.115976,3.11979,3.11771,0.596326,0.296066,0.0344828,0,1,0,0.275845,1.34356,61,7.68702,61,0.574122,0.574122,0.371804,0.138238,0,0,0,0,0,0,0,0
0.882519,1.42548,7.67824,1711.44,1030.23,34,0.0889162,0.983875,0.601967,0.264706,0,0,1.07259,1.0345,0.42971,0.159858,3.44984,3.43558,0.438086,0.181996,0,0,0,0,0.401773,1.30558,69,8.34938,69,0.612104,0.612104,0.344196,0.118471,0,0,0,0,0,0,0,0
0.737098,1.34538,7.49438,230.451,0,17,0.114575,1,0,1,0,0,1.01368,1.03763,0.398783,0.162594,3.26642,3.32416,0.660162,0.390015,0.0588235,0,1,0,0.345701,1.34437,3,8.79054,3,0.54107,0.54107,0.320625,0.102801,0,0,0,0,0,0,0,0
0.188036,1.35931,8.19176,1692.17,1536.59,41,0.0916503,0.96708,0.908056,0.487805,0,0.121951,1.0825,0.798214,0.919243,0.406485,3.20099,3.20363,0.795886,0.290967,0.097561,0.317073,4,13,0.174065,1.32557,138,7.48452,138,0.618245,0.618245,0.475005,0.22563,0,0,0,0,0,0,0,0
0.356596,1.32433,9.00851,2387.67,2037.86,35,0.604469,0.982905,0.853492,0.771429,0.0571429,0.371429,1.14143,0.663032,0.83741,0.190991,3.65369,3.63967,0.67926,0.17257,0.0857143,0.314286,3,11,0.238652,1.32526,89,8.23112,89,0.48822,0.48822,0.338092,0.114307,5,5,2,0,1,0,0,0
1.2263,1.45253,8.05347,1386.95,929.007,40,0.0690127,0.667991,0.669821,0.5,0,0.075,1.3345,1.34088,0.500641,0.274306,4.17008,4.18841,0.445777,0.206927,0,0.025,0,1,0.378905,1.40288,39,8.79207,39,0.624537,0.624537,0.277119,0.0767948,0,0,0,0,0,0,0,0
0.19822,1.29445,8.08345,2421.93,2328.89,30,0.181351,0.982827,0.961587,0.466667,0,0.266667,0.972632,0.59361,0.800544,0.182935,3.41568,3.18769,0.819416,0.191929,0.233333,0.266667,7,8,0.181767,1.33874,176,7.04936,176,0.505934,0.505934,0.377452,0.14247,0,0,0,0,0,0,0,0
1.33595,1.42609,9.31689,2147.42,1534.75,61,0.0636512,0.57818,0.714694,0.508197,0,0.327869,1.58324,1.53036,0.644496,0.422224,2.11404,2.05483,0.686828,0.324149,0.131148,0.163934,8,10,0.312343,1.34554,45,9.82592,45,0.605213,0.605213,0.357147,0.127554,0,0,0,0,0,0,0,0
