pmtHits,pmtTotalQ,pmtAvgT,pmtBaryAngle,pmtRmsAngle,pmtVarAngle,pmtSkewAngle,pmtKurtAngle,pmtRmsBary,pmtVarBary,pmtSkewBary,pmtKurtBary,pmtRmsPhi,pmtVarPhi,pmtFracHighestQ,pmtFracDownstream,pmtFracClustered,pmtFracLowQ,pmtFracLateT,pmtFracEarlyT,pmtLargeAngleAngle,pmtLargeAnglePhi,lappdHits,lappdAvgT,lappdBaryAngle,lappdRmsAngle,lappdVarAngle,lappdSkewAngle,lappdKurtAngle,lappdRMSBary,lappdVarBary,lappdSkewBary,lappdKurtBary,mrdPaddles,mrdLayers,mrdConslayers,mrdClusters,mrdPaddlesPerLayer,mrdXSpread,mrdYSpread,mrdAdjacentHits,nrings,multiplerings,energy,evnum,mcevnum
34,767.902,9.15945,0.528684,1.17104,1.36876,1.88641,-2.61677,0.711943,0.471664,0.500798,0.0628929,0.623186,0.339805,0.0808501,0.970406,1,0.852941,0.294118,0.0294118,0.0588235,0.147059,18,10.3235,0.465462,0.709893,0.503948,0.382539,-0.465736,0.290432,0.0843505,0.0222147,-0.0110762,0,0,0,0,0,0,0,0,1,0,168.253,69,68
76,6874.23,10.5299,0.338215,1.39956,0.728773,0.930179,-0.111007,1.10199,0.340503,0.407055,0.274365,0.900022,0.201919,0.0810987,0.952465,1,0.539474,0.421053,0,0.473684,0.210526,389,8.90148,0.0981615,0.54903,0.301434,0.211801,-0.118672,0.469901,0.220807,0.135378,-0.059734,1,1,0,0,1,0,0,0,1,0,1315.27,77,76
52,3287.37,8.11974,0.833831,1.30517,1.09716,1.43469,-1.47385,0.660455,0.188902,0.116024,0.0757987,1.23774,0.766803,0.103324,0.954628,1,0.384615,0.173077,0,0.173077,0.461538,144,8.63512,0.0712954,0.631697,0.399041,0.293017,-0.257764,0.568571,0.323273,0.215951,-0.16577,0,0,0,0,0,0,0,0,1,0,625.323,80,79
61,3681.13,8.75806,1.72489,1.69379,3.26278,6.64218,-17.6749,0.644379,0.305548,-0.024286,-0.0496325,2.22243,4.45945,0.0424732,0.418591,1,0.262295,0.327869,0.0327869,0.180328,0.852459,24,13.5415,0.2516,0.58348,0.340449,0.222934,-0.198497,0.36355,0.132169,0.0525316,-0.0286158,0,0,0,0,0,0,0,0,1,0,628.679,82,81
45,3313.64,8.34311,0.772403,1.14709,0.933306,1.08242,-1.25579,0.542893,0.150775,0.0568054,-0.00381685,0.726432,0.216773,0.0803831,0.982754,1,0.333333,0.0888889,0,0.0666667,0.155556,140,8.46776,0.363171,0.661034,0.436966,0.326063,-0.324922,0.359443,0.129199,0.0415904,-0.0286299,0,0,0,0,0,0,0,0,1,0,626.675,87,86
39,3069.67,7.45831,0.757344,1.10462,0.918955,1.03932,-1.28016,0.511032,0.143792,0.0492162,-0.0129381,1.18994,0.547837,0.170238,0.98506,1,0.512821,0.205128,0.128205,0.102564,0.410256,88,6.38205,0.330575,0.599722,0.359667,0.261718,-0.192972,0.351622,0.123638,0.0401274,-0.024522,6,4,2,0,1.5,0.372167,0.3045,0,1,0,842.321,88,87
12,1071.4,4.75457,1.11393,1.08193,1.33253,1.61481,-3.33025,0.286052,0.0535387,-0.0100652,-5.84759e-05,1.1087,0.543829,0.265364,1,1,0.416667,0.0833333,0.583333,0,0.416667,11,5.507,0.674462,0.751882,0.565326,0.454602,-0.589641,0.242738,0.0589217,-0.0235393,0.00761743,0,0,0,0,0,0,0,0,1,0,360.815,91,90
41,4298.59,8.08061,1.07613,1.26886,1.40499,1.86824,-3.29025,0.52106,0.131002,0.0119637,0.00888416,1.30592,0.795824,0.220795,0.933499,1,0.463415,0.268293,0.097561,0.0731707,0.609756,61,9.01093,0.286421,0.564495,0.318655,0.229883,-0.13449,0.363483,0.13212,0.047965,-0.0260956,0,0,0,0,0,0,0,0,1,0,935.891,93,92
35,2045.77,7.46745,0.917309,1.10991,1.19974,1.48071,-2.4202,0.414741,0.142286,0.020074,-0.0263979,1.55304,1.2555,0.205888,0.982239,1,0.457143,0.114286,0.114286,0.0285714,0.771429,32,7.51923,0.207122,0.595732,0.354897,0.26702,-0.171664,0.437039,0.191003,0.10186,-0.0490302,5,3,2,0,1.66667,0,0.1015,0,1,0,468.541,97,96
38,1026.44,8.25729,0.442379,0.995312,0.891274,0.983357,-1.24262,0.601703,0.309236,0.230023,-0.106041,0.497384,0.212064,0.0618846,1,1,0.631579,0.0789474,0,0.0526316,0,38,9.45591,0.0795179,0.544903,0.29692,0.188301,-0.141579,0.474508,0.225158,0.12628,-0.0787598,0,0,0,0,0,0,0,0,1,0,224.258,99,98
31,1911.83,7.2527,0.21129,0.825347,0.396427,0.306919,-0.206136,0.632224,0.194621,0.124312,-0.0215253,0.440204,0.120415,0.107337,1,1,0.419355,0,0,0.16129,0,140,7.35579,0.304427,0.620444,0.38495,0.273674,-0.244145,0.363882,0.13241,0.0515333,-0.0267809,5,5,3,0,1,0,0,0,1,0,690.299,102,101
28,1524.49,6.61259,0.883093,1.04009,0.997022,1.17205,-1.52229,0.399503,0.136867,0.0143965,-0.0210174,0.842903,0.689208,0.0786456,0.987776,1,0.321429,0.0357143,0.142857,0,0.357143,53,8.28664,0.233626,0.563566,0.317607,0.239829,-0.117937,0.403507,0.162818,0.0778449,-0.0348293,0,0,0,0,0,0,0,0,1,0,316.397,103,102
48,2261.52,8.87162,0.339046,1.05221,0.899332,1.0518,-1.00535,0.755253,0.419657,0.400494,-0.0369416,0.606585,0.233961,0.0610895,0.993994,1,0.416667,0.1875,0,0.229167,0.0208333,53,9.15026,0.16573,0.684069,0.467951,0.348561,-0.392132,0.529958,0.280856,0.164688,-0.136821,0,0,0,0,0,0,0,0,1,0,377.537,104,103
32,2211.34,7.88633,0.223196,0.931361,0.439121,0.399968,-0.119717,0.738595,0.221874,0.184229,0.0611227,0.717298,0.202396,0.187731,0.988954,1,0.40625,0.1875,0,0.1875,0.0625,133,6.87085,0.0868407,0.555974,0.309107,0.222695,-0.122088,0.48666,0.236838,0.151907,-0.0682383,0,0,0,0,0,0,0,0,1,0,395.803,110,109
46,3576.8,8.15263,0.562237,1.02199,0.690712,0.70284,-0.658461,0.530993,0.148503,0.0839476,-0.00669553,0.866322,0.493584,0.119722,1,1,0.434783,0.217391,0.0434783,0.0434783,0.347826,131,7.99231,0.315053,0.655641,0.429866,0.324644,-0.305193,0.396523,0.15723,0.0628299,-0.0420917,4,4,2,0,1,0,0,0,1,0,770.65,113,112
69,5266.83,10.0386,1.03912,1.60113,1.60015,2.53596,-3.21909,0.773973,0.286415,0.156404,0.0394635,0.893448,0.277953,0.12593,0.805917,1,0.521739,0.405797,0,0.26087,0.188406,123,8.88825,0.410986,0.618202,0.382173,0.287839,-0.217109,0.337595,0.11397,0.0166865,-0.0229177,0,0,0,0,0,0,0,0,1,0,1222.73,119,118
21,1297.19,5.89036,0.636244,0.878118,0.692676,0.685511,-0.720916,0.392867,0.118747,0.0398935,-0.0145557,0.681416,0.379418,0.204289,1,1,0.238095,0.047619,0.190476,0,0.190476,43,6.73781,0.241655,0.618393,0.38241,0.279584,-0.22779,0.416965,0.17386,0.0850014,-0.0437888,5,3,1,0,1.66667,0,0.0676667,0,1,0,976.877,120,119
56,5309.81,9.75268,0.425569,1.23793,0.610966,0.689771,-0.140854,0.869984,0.204159,0.20797,0.163515,0.959318,0.317724,0.124386,0.978915,1,0.517857,0.428571,0,0.303571,0.232143,280,7.58457,0.278391,0.578306,0.334438,0.240984,-0.156858,0.371517,0.138025,0.0544775,-0.0277505,3,3,1,0,1,0,0,0,1,0,1065.52,123,122
43,4060.41,8.58024,1.02088,1.38296,1.2379,1.61661,-2.29434,0.561628,0.14325,0.0335949,0.0128434,1.35599,0.679087,0.136207,0.92229,1,0.348837,0.209302,0,0.0697674,0.44186,119,7.42158,0.531488,0.555828,0.308945,0.177737,-0.183296,0.121737,0.01482,-0.00531137,0.00218565,0,0,0,0,0,0,0,0,1,0,908.134,136,131
23,1961.93,7.04418,0.967647,1.08571,1.16386,1.45658,-2.11919,0.477331,0.141994,0.014197,-0.00554755,1.33561,1.0349,0.210789,0.950921,1,0.347826,0.173913,0.26087,0.0434783,0.652174,51,7.35973,0.405737,0.642786,0.413174,0.309247,-0.274873,0.330273,0.10908,0.0247963,-0.0194355,0,0,0,0,0,0,0,0,1,0,532.176,141,136
29,2771.36,6.78804,0.305754,0.798485,0.421443,0.330224,-0.24785,0.52225,0.14457,0.0849244,-0.00569218,0.880489,0.530048,0.152137,1,1,0.344828,0.0689655,0.137931,0.0344828,0.37931,139,5.60814,0.483657,0.722648,0.522221,0.400353,-0.507672,0.290747,0.0845339,0.0167308,-0.012032,4,3,2,0,1.33333,0,0,0,1,0,626.794,159,154
